name,percent_change,values
Bitcoin,1h,-0.09634927722222222
Bitcoin,24h,-2.2599804361111113
Bitcoin,7d,-3.435822031111111
Bitcoin,30d,-5.0623208250000005
Bitcoin,60d,4.256173395555556
Bitcoin,90d,1.7782407455555556
Ethereum,1h,-0.5921237733333333
Ethereum,24h,-4.6136386994444445
Ethereum,7d,5.884565126111111
Ethereum,30d,22.200197496666664
Ethereum,60d,87.2383960961111
Ethereum,90d,72.377492855
XRP,1h,-0.1880664327777778
XRP,24h,-2.6837064161111113
XRP,7d,-2.2186715605555554
XRP,30d,-7.824154606111112
XRP,60d,36.84049186111111
XRP,90d,26.562338084444445
Tether USDt,1h,0.006143493333333333
Tether USDt,24h,0.024970644444444447
Tether USDt,7d,-0.07013252222222222
Tether USDt,30d,-0.03720071888888889
Tether USDt,60d,-0.035347360555555554
Tether USDt,90d,-0.032635777222222224
BNB,1h,-0.34807263222222223
BNB,24h,-0.8441596194444444
BNB,7d,2.5691571716666664
BNB,30d,9.946947477777778
BNB,60d,32.95291437
BNB,90d,25.283164120555554
Solana,1h,-0.7247445438888889
Solana,24h,-4.977188768333333
Solana,7d,7.658651706111111
Solana,30d,4.871861471111111
Solana,60d,37.561136731666664
Solana,90d,11.248808623333334
USDC,1h,-0.0011247066666666668
USDC,24h,0.005464463888888889
USDC,7d,-0.013951298888888889
USDC,30d,0.0012526977777777778
USDC,60d,0.00868798611111111
USDC,90d,0.01386042
TRON,1h,-0.14834768888888888
TRON,24h,-3.945664317222222
TRON,7d,1.1063302716666668
TRON,30d,10.444570826666666
TRON,60d,29.414693839444446
TRON,90d,27.022864311666666
Dogecoin,1h,-0.5782061116666667
Dogecoin,24h,-5.687673590555556
Dogecoin,7d,-2.1549822994444443
Dogecoin,30d,-8.253849451666667
Dogecoin,60d,35.373716907222224
Dogecoin,90d,-4.364375645
Cardano,1h,-0.701362185
Cardano,24h,-4.115993638888889
Cardano,7d,-5.823006389444444
Cardano,30d,4.5197767861111116
Cardano,60d,54.61168976166667
Cardano,90d,12.690572763333334
Chainlink,1h,-1.0684930244444444
Chainlink,24h,-3.997850079444445
Chainlink,7d,-2.4408371966666667
Chainlink,30d,33.76859574666666
Chainlink,60d,86.94858829888888
Chainlink,90d,54.25096267166666
Hyperliquid,1h,-0.10379901055555557
Hyperliquid,24h,2.871152301111111
Hyperliquid,7d,3.910458907222222
Hyperliquid,30d,2.8061812316666668
Hyperliquid,60d,23.30384657888889
Hyperliquid,90d,21.725350385555558
Stellar,1h,-0.13363274444444445
Stellar,24h,-3.8640788227777776
Stellar,7d,-4.562493277222222
Stellar,30d,-11.044013323333333
Stellar,60d,64.83169231111111
Stellar,90d,35.51246106222222
Sui,1h,-0.5357504838888888
Sui,24h,-5.555011612777778
Sui,7d,-3.762482786111111
Sui,30d,-16.138130382777778
Sui,60d,30.393729127777778
Sui,90d,-3.652558317777778
Ethena USDe,1h,-0.0035483844444444443
Ethena USDe,24h,0.021985692222222224
Ethena USDe,7d,-0.08042685722222223
Ethena USDe,30d,-0.05536504111111111
Ethena USDe,60d,0.05234073833333333
Ethena USDe,90d,-0.013324582777777778
